(2188,1970)
(2496,4072)
(1945,4198)
(3337,487)
(2631,3479)
(3915,1366)
(766,1493)
(3325,1271)
(2165,4322)
(4334,1471)
(1741,4031)
(2761,677)
(916,3130)
(3749,3935)
(352,4714)
(1917,4378)
(2999,1673)
(1854,1814)
(2164,2528)
(2358,3562)
(246,1965)
(4354,1197)
(2877,3080)
(4417,1482)
(4926,3574)
(4640,3217)
(4122,1305)
(777,4755)
(2890,2790)
(4163,3817)
(3085,4426)
(2342,4907)
(562,3783)
(367,3315)
(3356,2152)
(452,2046)
(825,2328)
(5000,3765)
(1096,1330)
(394,3044)
(700,2562)
(4103,3025)
(4113,1498)
(2745,1890)
(332,3563)
(3453,930)
(2936,640)
(3049,1749)
(821,1512)
(5000,3657)
(2517,4628)
(1426,3312)
(4130,4003)
(3398,3559)
(2586,1200)
(1861,2193)
(3760,942)
(4141,4017)
(639,3090)
(1661,977)
(2633,2830)
(2369,3952)
(422,2688)
(2834,3005)
(2908,1722)
(4947,976)
(3382,1763)
(4271,1107)
(3192,3588)
(1507,3556)
(679,3633)
(2938,2954)
(680,4272)
(945,3752)
(2984,1609)
(4172,3730)
(1889,2803)
(4038,1286)
(4195,2401)
(4274,479)
(4306,1222)
(1014,3744)
(1960,3622)
(0,4405)
(311,1786)
(2468,1850)
(4850,4439)
(968,3749)
(4895,654)
(4799,3575)
(0,3708)
(1190,1997)
(1109,2826)
(2693,3486)
(2869,2665)
(2623,1212)
(1838,1925)
(4554,1650)
(4208,3228)
(3535,3428)
(407,1214)
(0,4768)
(4267,4222)
(4646,1131)
(1735,1544)
(3352,4596)
(3832,1557)
(4217,1368)
(2976,1047)
(2728,3685)
(713,4007)
(2838,1342)
(5000,3699)
(488,2842)
(2768,1808)
(3678,2258)
(3929,3826)
(1356,3066)
(4024,4063)
(2069,2184)
(3330,1696)
(3576,934)
(2101,941)
(2213,1182)
(4152,986)
(3569,4543)
(2354,1013)
(3441,3082)
(3845,1859)
(734,3261)
(715,2753)
(4004,3609)
(2371,2764)
(2610,1060)
(400,2863)
(2425,1014)
(1148,3251)
(1265,3836)
(3240,2166)
(3452,1002)
(1083,826)
(3340,532)
(4389,2080)
(3458,524)
(3143,3401)
(3835,3628)
(3226,2123)
(1449,3485)
(778,2526)
(4296,1515)
(3838,4084)
(426,4326)
(3812,4849)
(276,4796)
(2242,2074)
(2968,3935)
(3191,3684)
(3370,3686)
(897,2864)
(2614,899)
(3705,3410)
